Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,achieves,adjacent to,affects,allocates,capable of,characteristic for,completed invasion phase,contained in,contains,contributes to,contributor,created by,decreases,decreases effort in,derives from,derives into,determines,don't use concept,editor note,enabled by,ends,ends during,ends with,enhance,facilitate,has alien range,has amount of closely related species,has amount of species,has area,has component,has decreased effort level by,has distribution,has growth,has habitat,has increased effort level by,has increased levels of,has index,has input,has invasion success likelihood,has level of,has measurement,has measurement unit label,has measurement value,has mortality,has natality,has native range,has number of individuals,has output,has part,has part structure that is capable of,has participant,has propagule pressure,has quality,has range,has recruitment,has role,has spatial occupant at some time,has specific name,has status,has value,http://data.bioontology.org/metadata/obo/part_of,http://data.bioontology.org/metadata/prefixIRI,http://data.bioontology.org/metadata/treeView,http://purl.obolibrary.org/obo/IAO_0000111,http://purl.obolibrary.org/obo/IAO_0000112,http://purl.obolibrary.org/obo/IAO_0000114,http://purl.obolibrary.org/obo/IAO_0000115,http://purl.obolibrary.org/obo/IAO_0000118,http://purl.obolibrary.org/obo/IAO_0000119,http://purl.obolibrary.org/obo/IAO_0000232,http://purl.obolibrary.org/obo/IAO_0000412,http://purl.obolibrary.org/obo/ncbitaxon#has_rank,http://purl.obolibrary.org/obo/NCIT_A8,http://purl.obolibrary.org/obo/NCIT_NHC0,http://purl.obolibrary.org/obo/NCIT_P106,http://purl.obolibrary.org/obo/NCIT_P107,http://purl.obolibrary.org/obo/NCIT_P108,http://purl.obolibrary.org/obo/NCIT_P207,http://purl.obolibrary.org/obo/NCIT_P322,http://purl.obolibrary.org/obo/NCIT_P325,http://purl.obolibrary.org/obo/NCIT_P366,http://purl.obolibrary.org/obo/OBI_0001886,http://purl.obolibrary.org/obo/RO_0001900,http://purl.org/dc/elements/1.1/source,http://purl.org/dc/terms/creator,http://www.geneontology.org/formats/oboInOwl#creation_date,http://www.geneontology.org/formats/oboInOwl#hasAlternativeId,http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym,http://www.geneontology.org/formats/oboInOwl#hasDbXref,http://www.geneontology.org/formats/oboInOwl#hasExactSynonym,http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym,http://www.geneontology.org/formats/oboInOwl#hasOBONamespace,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,http://www.geneontology.org/formats/oboInOwl#hasSynonymType,http://www.geneontology.org/formats/oboInOwl#id,http://www.geneontology.org/formats/oboInOwl#inSubset,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#deprecated,http://www.w3.org/2004/02/skos/core#altLabel,http://www.w3.org/2004/02/skos/core#definition,http://www.w3.org/2004/02/skos/core#notation,https://w3id.org/inbio#_000130,https://w3id.org/inbio#_000132,increases,increases effort in,interacts with,is absent,is affected by,is against,is aggregate of,is alien range to,is characteristic of,is characterized by,is closely related to,is enemy of,is enhanced by,is growth of,is habitat of,is in invasion phase,is mortality of,is natality of,is native range to,is part of,is prey of,is range of,is recruitment of,is similar to,is status of,license,license,license,license,located in,location of,occupies spatial region at some time,occurs in,output of,overlaps,part of,participates in,produced by,produces,quality of,role of,shows changes in species trait,spatially coextensive with,surrounded by,surrounds,title,TODO
http://purl.obolibrary.org/obo/IAO_8000009,single layer subset ontology module,,A subset ontology that is largely comprised of a single layer or strata in an ontology class hierarchy. The purpose is typically for rolling up for visualization. The classes in the layer need not be disjoint.,false,,,http://purl.obolibrary.org/obo/IAO_8000006,,,,,,,,,,,,cjm,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAO:8000009,,,,,A subset ontology that is largely comprised of a single layer or strata in an ontology class hierarchy. The purpose is typically for rolling up for visualization. The classes in the layer need not be disjoint.,ribbon subset,,,,,,,,,,,,,,,,,,2018-05-20T20:59:19Z,,,,,,,,,,,,single layer subset ontology module,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCBITaxon_2759,eukaryota,Eucarya|Eucaryotae|Eukarya|Eukaryotae|eukaryotes|eucaryotes|eukaryotes,,false,,,http://purl.obolibrary.org/obo/NCIT_C40098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCBITaxon_superkingdom,,,,,,,,,,,,,,,,,PMID:23020233|GC_ID:1,eucaryotes|eukaryotes,,ncbi_taxonomy,Eucarya|Eucaryotae|Eukarya|Eukaryotae|eukaryotes,,NCBITaxon:2759,,,eukaryota,,,,NCBITaxon:2759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://w3id.org/inbio#_000026,area,,A geographical region that can include land as well as water.,false,,,http://purl.obolibrary.org/obo/NCIT_C20181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INBIO:_000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area,,,A geographical region that can include land as well as water.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCBITaxon_8504,lepidosauria,Reptilia|lizards|reptiles|lepidosaurs,,false,,,https://w3id.org/inbio#_000048|http://purl.obolibrary.org/obo/NCBITaxon_32561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCBITaxon:8504,,,,,,,,,,http://purl.obolibrary.org/obo/NCBITaxon_class,,,,,,,,,,,,,,,,,PMID:22982760|GC_ID:1,lepidosaurs,,ncbi_taxonomy,Reptilia|lizards|reptiles,,,,,lepidosauria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/PATO_0002124,laminar,,A quality inhering in a bearer by virtue of the bearer's processing the form of a thin plate sheet or layer.,false,,,http://purl.obolibrary.org/obo/PATO_0000141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PATO:0002124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laminar,,,A quality inhering in a bearer by virtue of the bearer's processing the form of a thin plate sheet or layer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://w3id.org/inbio#_000044,ecological measure,ecological measurement|ecological estimate,"metric for qualifying ecologically relevant characteristics, e.g. biodiversity or body length",false,,,https://w3id.org/inbio#_000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INBIO:_000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecological measurement|ecological estimate,,,,,,,,ecological measure,,,"metric for qualifying ecologically relevant characteristics, e.g. biodiversity or body length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_00000045,estuary,inlet|mouth,"A semi-enclosed coastal body of water with one or more rivers or streams flowing into it, and with a free connection to the open sea.",false,,,http://purl.obolibrary.org/obo/ENVO_00000063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENVO:00000045,,,,,,,,,,,,,,,,,,,,,,,,,LTER:182,mouth,SWEETRealm:Estuary|EcoLexicon:estuary|Geonames:H.ESTY|https://en.wikipedia.org/wiki/Estuary|FTT:234|TGN:21152,,,,inlet,,,,,estuary,,,"A semi-enclosed coastal body of water with one or more rivers or streams flowing into it, and with a free connection to the open sea.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_09200008,composition of soil,soil composition,The composition of some soil.,false,,,http://purl.obolibrary.org/obo/PATO_0000025|http://purl.obolibrary.org/obo/ENVO_09200009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENVO:09200008,,,,,,,,,,,,,,,,,,,,,,,,,,,,soil composition,,,,,,,,composition of soil,,,The composition of some soil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCBITaxon_197562,pancrustacea,,,false,,,http://purl.obolibrary.org/obo/NCBITaxon_197563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCBITaxon:197562,,,,,,,,,,http://purl.obolibrary.org/obo/NCBITaxon_clade,,,,,,,,,,,,,,,,,PMID:10874751|PMID:11557979|GC_ID:1,,,ncbi_taxonomy,,,,,,pancrustacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCBITaxon_197563,mandibulata,mandibulates,,false,,,http://purl.obolibrary.org/obo/NCBITaxon_6656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCBITaxon:197563,,,,,,,,,,http://purl.obolibrary.org/obo/NCBITaxon_clade,,,,,,,,,,,,,,,,,PMID:9727836|PMID:11557979|GC_ID:1,mandibulates,,ncbi_taxonomy,,,,,,mandibulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
